sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop scenario_file param1 val1 param2 val2 param3 val3
97 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.11 wind_prop 0.01
98 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.11 wind_prop 0.01
99 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.11 wind_prop 0.01
100 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.12 wind_prop 0.01
101 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.12 wind_prop 0.01
102 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.12 wind_prop 0.01
103 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.13 wind_prop 0.01
104 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.13 wind_prop 0.01
105 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.13 wind_prop 0.01
106 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.14 wind_prop 0.01
107 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.14 wind_prop 0.01
108 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.14 wind_prop 0.01
109 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.15 wind_prop 0.01
110 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.15 wind_prop 0.01
111 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.15 wind_prop 0.01
112 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.16 wind_prop 0.01
113 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.16 wind_prop 0.01
114 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.16 wind_prop 0.01
115 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.17 wind_prop 0.01
116 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.17 wind_prop 0.01
117 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.17 wind_prop 0.01
118 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.18 wind_prop 0.01
119 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.18 wind_prop 0.01
120 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.18 wind_prop 0.01
121 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.19 wind_prop 0.01
122 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.19 wind_prop 0.01
123 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.19 wind_prop 0.01
124 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.20 wind_prop 0.01
125 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.20 wind_prop 0.01
126 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.20 wind_prop 0.01
127 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.00 wind_prop 0.02
128 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.00 wind_prop 0.02
129 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.00 wind_prop 0.02
130 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.01 wind_prop 0.02
131 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.01 wind_prop 0.02
132 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.01 wind_prop 0.02
133 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.02 wind_prop 0.02
134 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.02 wind_prop 0.02
135 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.02 wind_prop 0.02
136 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.03 wind_prop 0.02
137 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.03 wind_prop 0.02
138 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.03 wind_prop 0.02
139 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.04 wind_prop 0.02
140 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.04 wind_prop 0.02
141 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.04 wind_prop 0.02
142 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.05 wind_prop 0.02
143 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.05 wind_prop 0.02
144 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.05 wind_prop 0.02
145 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.06 wind_prop 0.02
146 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.06 wind_prop 0.02
147 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.06 wind_prop 0.02
148 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.07 wind_prop 0.02
149 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.07 wind_prop 0.02
150 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.07 wind_prop 0.02
151 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.08 wind_prop 0.02
152 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.08 wind_prop 0.02
153 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 3 birds_prop 0.08 wind_prop 0.02
154 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 1 birds_prop 0.09 wind_prop 0.02
155 1 study_rep_30.csv 50 8 0 0 0 0 0 0 1 0 0 scn_cali_03_mort_3.csv birds_a 2 birds_prop 0.09 wind_prop 0.02
